coord_sys_code, west_bound_lon, north_bound_lat, east_bound_lon, south_bound_lat
3584,-70.91,41.51,-69.89,41.19
3585,-73.5,42.89,-69.86,41.46
3586,-73.5,42.89,-69.86,41.46
3587,-87.06,45.92,-82.27,43.8
3588,-87.06,45.92,-82.27,43.8
3589,-90.42,48.32,-83.44,45.08
3590,-90.42,48.32,-83.44,45.08
3591,-90.42,48.32,-82.13,41.69
3592,-87.2,44.22,-82.13,41.69
3593,-87.2,44.22,-82.13,41.69
3594,-96.86,47.48,-92.29,45.28
3595,-97.22,49.38,-89.49,46.64
3596,-96.85,45.59,-91.21,43.49
3597,-89.97,35.01,-88.09,30.01
3598,-89.97,35.01,-88.09,30.01
3599,-91.65,35.01,-89.37,31.0
3600,-91.65,35.01,-89.37,31.0
3601,-93.79,40.61,-91.41,36.48
3602,-91.97,40.61,-89.1,35.98
3603,-95.77,40.59,-93.48,36.48
3604,-116.07,49.01,-104.04,44.35
3605,-116.07,49.01,-104.04,44.35
3606,-104.06,43.01,-95.3,39.99
3607,-118.19,41.0,-114.99,36.0
3608,-118.19,41.0,-114.99,36.0
3609,-117.01,42.0,-114.03,34.99
3610,-117.01,42.0,-114.03,34.99
3611,-120.0,42.0,-116.99,36.95
3612,-120.0,42.0,-116.99,36.95
3613,-72.56,45.31,-70.63,42.69
3614,-72.56,45.31,-70.63,42.69
3615,-75.6,41.36,-73.88,38.87
3616,-75.6,41.36,-73.88,38.87
3617,-107.73,37.0,-104.84,31.78
3618,-107.73,37.0,-104.84,31.78
3619,-105.72,37.0,-102.99,32.0
3620,-105.72,37.0,-102.99,32.0
3621,-109.06,37.0,-106.32,31.33
3622,-109.06,37.0,-106.32,31.33
3623,-77.75,44.41,-75.04,41.99
3624,-77.75,44.41,-75.04,41.99
3625,-75.87,45.02,-73.23,40.88
3626,-75.87,45.02,-73.23,40.88
3627,-74.26,41.3,-71.8,40.47
3628,-74.26,41.3,-71.8,40.47
3629,-79.77,43.64,-77.36,41.99
3630,-79.77,43.64,-77.36,41.99
3631,-84.33,36.59,-75.38,33.83
3632,-84.33,36.59,-75.38,33.83
3633,-104.07,49.01,-96.83,47.15
3634,-104.07,49.01,-96.83,47.15
3635,-104.05,47.83,-96.55,45.93
3636,-104.05,47.83,-96.55,45.93
3637,-84.81,42.33,-80.51,40.1
3638,-84.83,40.36,-80.7,38.4
3639,-103.0,37.01,-94.42,35.27
3640,-103.0,37.01,-94.42,35.27
3641,-100.0,35.57,-94.42,33.62
3642,-100.0,35.57,-94.42,33.62
3643,-124.6,46.26,-116.47,41.98
3644,-124.6,46.26,-116.47,41.98
3645,-124.17,46.26,-116.47,43.95
3646,-124.17,46.26,-116.47,43.95
3647,-124.6,44.56,-116.9,41.98
3648,-124.6,44.56,-116.9,41.98
3649,-80.53,42.53,-74.7,40.6
3650,-80.53,42.53,-74.7,40.6
3651,-80.53,41.18,-74.72,39.71
3652,-80.53,41.18,-74.72,39.71
3653,-71.85,42.02,-71.08,41.13
3654,-71.85,42.02,-71.08,41.13
3655,-83.36,35.21,-78.52,32.05
3656,-83.36,35.21,-78.52,32.05
3657,-104.07,45.95,-96.45,44.14
3658,-104.07,45.95,-96.45,44.14
3659,-104.06,44.79,-96.43,42.48
3660,-104.06,44.79,-96.43,42.48
3661,-90.31,36.68,-81.65,34.98
3662,-90.31,36.68,-81.65,34.98
3663,-106.66,32.27,-93.5,29.78
3664,-106.66,32.27,-93.5,29.78
3665,-106.66,36.5,-93.5,25.83
3666,-106.66,36.5,-93.5,25.83
3667,-103.03,36.5,-99.99,34.3
3668,-103.03,36.5,-99.99,34.3
3669,-103.07,34.58,-94.0,31.72
3670,-103.07,34.58,-94.0,31.72
3671,-100.2,28.21,-96.85,25.83
3672,-100.2,28.21,-96.85,25.83
3673,-105.0,30.67,-93.76,27.78
3674,-105.0,30.67,-93.76,27.78
3675,-114.05,41.08,-109.04,38.49
3676,-114.05,41.08,-109.04,38.49
3677,-114.05,41.08,-109.04,38.49
3678,-114.04,42.01,-109.04,40.55
3679,-114.04,42.01,-109.04,40.55
3680,-114.04,42.01,-109.04,40.55
3681,-114.05,38.58,-109.04,36.99
3682,-114.05,38.58,-109.04,36.99
3683,-114.05,38.58,-109.04,36.99
3684,-73.44,45.03,-71.5,42.72
3685,-80.06,39.46,-76.51,37.77
3686,-80.06,39.46,-76.51,37.77
3687,-83.68,38.28,-75.31,36.54
3688,-83.68,38.28,-75.31,36.54
3689,-124.79,49.05,-117.02,47.08
3690,-124.79,49.05,-117.02,47.08
3691,-124.4,47.61,-116.91,45.54
3692,-124.4,47.61,-116.91,45.54
3693,-81.76,40.64,-77.72,38.76
3694,-82.65,39.17,-79.05,37.2
3695,-92.89,45.8,-86.25,43.98
3696,-92.89,45.8,-86.25,43.98
3697,-92.89,47.31,-88.05,45.37
3698,-92.89,47.31,-88.05,45.37
3699,-91.43,44.33,-86.95,42.48
3700,-91.43,44.33,-86.95,42.48
3701,-92.89,47.31,-86.25,42.48
3702,-106.33,45.01,-104.05,40.99
3703,-108.63,45.01,-106.0,40.99
3704,-111.06,45.01,-107.5,40.99
3705,-111.06,44.67,-109.04,40.99
3706,167.65,56.28,174.01,49.01
3707,174.0,56.67,180.0,47.92
3708,-180.0,63.21,-173.99,47.88
3709,-174.0,73.05,-167.99,48.66
3710,-168.0,74.29,-161.99,49.52
3711,-162.0,74.71,-155.99,50.98
3712,-156.0,74.71,-149.99,52.15
3713,-150.0,74.13,-143.99,54.05
3714,-144.0,73.59,-137.99,53.47
3715,-138.0,73.04,-131.99,53.6
3716,-132.0,56.84,-126.0,35.38
3717,-126.0,49.09,-119.99,30.54
3718,-120.0,49.01,-114.0,30.88
3719,-114.0,49.01,-108.0,31.33
3720,-108.0,49.01,-102.0,28.98
3721,-102.0,49.01,-96.0,25.83
3722,-96.01,49.38,-90.0,25.61
3723,-90.0,48.32,-84.0,23.97
3724,-84.0,46.13,-78.0,23.81
3725,-78.0,45.03,-72.0,28.28
3726,-72.0,47.47,-65.99,33.61
3727,55.16,-20.81,55.91,-21.42
3728,-84.81,42.33,-80.51,40.1
3729,-84.83,40.36,-80.7,38.4
3730,-106.33,45.01,-104.05,40.99
3731,-108.63,45.01,-106.0,40.99
3732,-111.06,45.01,-107.5,40.99
3733,-111.06,44.67,-109.04,40.99
3734,-84.81,42.33,-80.51,40.1
3735,-84.83,40.36,-80.7,38.4
3736,-106.33,45.01,-104.05,40.99
3737,-108.63,45.01,-106.0,40.99
3738,-111.06,45.01,-107.5,40.99
3739,-111.06,44.67,-109.04,40.99
3740,-124.79,49.05,-119.99,33.85
3741,-120.0,49.01,-114.0,32.26
3742,-114.0,49.01,-108.0,31.33
3743,-108.0,49.01,-102.0,28.98
3744,-102.0,49.01,-95.99,25.83
3745,-96.0,49.38,-89.99,28.42
3746,-90.0,48.32,-83.99,28.85
3747,-84.01,46.13,-78.0,24.41
3748,-78.0,45.03,-72.0,33.84
3749,-72.0,47.47,-66.91,40.96
3750,-160.3,22.29,-155.99,19.51
3751,-156.0,20.86,-154.74,18.87
3752,155.0,-25.0,-170.0,-60.0
3753,-84.81,42.33,-80.51,40.1
3754,-84.83,40.36,-80.7,38.4
3755,-106.33,45.01,-104.05,40.99
3756,-108.63,45.01,-106.0,40.99
3757,-111.06,45.01,-107.5,40.99
3758,-111.06,44.67,-109.04,40.99
3759,-158.33,21.75,-157.61,21.2
3760,-158.33,21.75,-157.61,21.2
3761,-54.0,57.65,-48.0,43.27
3762,-38.08,-53.93,-35.74,-54.95
3763,-9.56,42.16,-6.19,36.95
3764,-177.25,-43.3,-175.54,-44.64
3765,13.43,46.54,19.43,42.34
3766,13.0,46.54,19.43,41.62
3767,13.0,46.54,18.0,41.63
3768,18.0,45.92,19.43,41.62
3769,-64.89,32.43,-64.61,32.21
3770,-68.83,35.73,-60.7,28.91
3771,-112.5,60.0,-109.98,48.99
3772,-115.5,60.0,-112.5,48.99
3773,-118.5,60.0,-115.5,50.77
3774,-120.0,60.0,-118.5,52.88
3775,-112.5,60.0,-109.98,48.99
3776,-115.5,60.0,-112.5,48.99
3777,-118.5,60.0,-115.5,50.77
3778,-120.0,60.0,-118.5,52.88
3779,-112.5,60.0,-109.98,48.99
3780,-115.5,60.0,-112.5,48.99
3781,-118.5,60.0,-115.5,50.77
3782,-120.0,60.0,-118.5,52.88
3783,-130.16,-25.0,-130.01,-25.14
3784,-130.16,-25.0,-130.01,-25.14
3785,-180.0,85.06,180.0,-85.06
3786,-180.0,90.0,180.0,-90.0
3787,13.38,46.88,16.61,45.42
3788,165.55,-47.8,166.93,-51.13
3789,168.65,-52.26,169.6,-52.83
3790,178.4,-47.54,179.37,-49.92
3791,-179.07,-29.03,-177.62,-31.56
3793,-177.25,-43.3,-175.54,-44.64
3794,13.38,46.88,16.61,45.42
3795,-85.01,23.25,-76.91,21.38
3796,-78.69,21.5,-74.07,19.77
3797,-79.85,62.62,-57.1,44.99
3798,-79.85,62.62,-57.1,44.99
3799,-79.85,62.62,-57.1,44.99
3800,-120.0,60.0,-118.5,52.88
3801,-120.0,60.0,-118.5,52.88
3802,-120.0,60.0,-118.5,52.88
3812,2.5,51.51,6.4,49.5
3814,-91.65,35.01,-88.09,30.01
3815,-91.65,35.01,-88.09,30.01
3816,-91.65,35.01,-88.09,30.01
3819,16.11,48.58,22.9,45.74
3821,119.25,25.34,122.06,21.87
3822,114.32,26.96,123.61,17.36
3823,114.32,26.96,123.61,17.36
3824,114.32,26.96,123.61,17.36
3825,118.0,24.65,120.0,18.63
3826,119.99,26.72,122.06,20.41
3827,119.25,23.82,119.78,23.12
3828,119.99,25.34,122.06,21.87
3829,119.25,25.34,122.06,21.87
3832,98.69,66.67,-68.0,-60.0
3833,9.92,54.23,12.0,50.2
3834,9.92,54.23,12.0,50.2
3835,12.0,54.74,18.01,45.78
3836,18.0,50.06,22.9,45.74
3837,9.92,51.56,10.5,50.35
3838,10.5,54.74,13.5,48.97
3839,25.5,48.27,28.5,41.28
3840,28.5,45.44,29.74,43.34
3841,16.5,50.45,19.5,45.74
3842,19.5,49.59,22.5,46.1
3843,22.5,49.1,22.9,47.76
3844,20.26,48.27,31.41,43.44
3845,10.93,59.73,12.91,57.29
3846,11.81,64.39,15.44,55.28
3847,13.66,67.18,17.73,55.95
3848,16.08,68.54,20.22,56.86
3849,18.4,69.07,22.2,63.37
3850,21.34,68.58,24.17,65.24
3851,160.6,-25.88,-171.2,-55.95
3852,145.0,-76.0,169.0,-81.0
3854,17.25,60.27,19.61,58.69
3855,-180.0,90.0,180.0,-90.0
3857,-180.0,85.06,180.0,-85.06
3873,19.24,60.34,19.5,60.08
3874,19.5,60.48,20.5,59.92
3875,20.5,69.33,21.5,59.84
3876,21.5,69.31,22.5,59.76
3877,22.5,68.74,23.5,59.75
3878,23.5,68.84,24.5,59.86
3879,24.5,68.9,25.5,59.94
3880,25.5,69.94,26.5,60.18
3881,26.5,70.05,27.5,60.36
3882,27.5,70.09,28.5,60.42
3883,28.5,69.81,29.5,60.94
3884,29.5,67.98,30.5,61.43
3885,30.5,64.27,31.59,62.08
3886,38.79,37.39,48.61,29.06
3887,38.79,37.39,48.75,29.06
3888,38.79,37.39,48.75,29.06
3889,38.79,37.39,48.75,29.06
3890,38.79,36.75,42.0,31.14
3891,42.0,37.39,48.0,29.06
3892,48.0,31.0,48.75,29.6
3893,38.79,37.39,48.61,29.06
3900,19.24,70.09,31.59,59.75
3901,19.24,70.09,31.59,59.75
3902,19.24,70.09,31.59,59.75
3903,19.24,70.09,31.59,59.75
3906,13.38,46.88,23.04,40.85
3907,13.38,46.88,16.5,42.95
3908,16.5,46.55,19.51,41.79
3909,19.5,46.19,22.51,40.85
3910,22.5,44.7,23.04,41.11
3911,13.38,46.88,16.61,45.42
3912,13.38,46.88,16.61,45.42
3920,-64.88,18.78,-64.25,18.28
3942,-1.06,43.07,9.63,41.31
3943,-1.79,44.0,7.65,42.33
3944,-1.79,45.0,7.71,43.0
3945,-1.46,46.0,7.71,44.0
3946,-2.21,47.0,7.16,45.0
3947,-4.77,48.0,7.63,46.0
3948,-4.87,49.0,8.23,47.0
3949,-4.87,50.0,8.23,48.0
3950,-2.03,51.14,8.08,49.0
3968,-83.68,39.46,-75.31,36.54
3969,-83.68,39.46,-75.31,36.54
3970,-83.68,39.46,-75.31,36.54
3973,-180.0,90.0,180.0,0.0
3974,-180.0,0.0,180.0,-90.0
3975,-180.0,86.0,180.0,-86.0
3976,-180.0,-60.0,180.0,-90.0
3978,-141.01,86.46,-47.74,40.04
3979,-141.01,86.46,-47.74,40.04
3985,21.74,-4.99,30.78,-13.46
3986,28.5,-4.99,30.78,-13.46
3987,26.5,-4.99,29.5,-13.44
3988,24.5,-4.99,27.5,-12.08
3989,21.74,-6.32,25.5,-11.72
3991,-67.97,18.57,-65.19,17.87
3992,-65.09,18.44,-64.51,17.62
3993,144.58,13.7,145.01,13.18
3994,155.0,-25.0,-170.0,-60.0
3995,-180.0,90.0,180.0,60.0
3996,-180.0,90.0,180.0,60.0
3997,54.84,25.34,55.55,24.85
4000,26.63,48.47,30.13,45.44
4001,-180.0,90.0,180.0,-90.0
4002,-180.0,90.0,180.0,-90.0
4003,-180.0,90.0,180.0,-90.0
4004,-180.0,90.0,180.0,-90.0
4005,-180.0,90.0,180.0,-90.0
4006,-180.0,90.0,180.0,-90.0
4007,-180.0,90.0,180.0,-90.0
4008,-180.0,90.0,180.0,-90.0
4009,-180.0,90.0,180.0,-90.0
4010,-180.0,90.0,180.0,-90.0
4011,-180.0,90.0,180.0,-90.0
4012,-180.0,90.0,180.0,-90.0
4013,-180.0,90.0,180.0,-90.0
4014,-180.0,90.0,180.0,-90.0
4015,-180.0,90.0,180.0,-90.0
4016,-180.0,90.0,180.0,-90.0
4017,26.63,48.47,30.13,45.44
4018,-180.0,90.0,180.0,-90.0
4019,-180.0,90.0,180.0,-90.0
4020,-180.0,90.0,180.0,-90.0
4021,-180.0,90.0,180.0,-90.0
4022,-180.0,90.0,180.0,-90.0
4023,26.63,48.47,30.13,45.44
4024,-180.0,90.0,180.0,-90.0
4025,-180.0,90.0,180.0,-90.0
4026,26.63,48.47,30.13,45.44
4027,-180.0,90.0,180.0,-90.0
4028,-180.0,90.0,180.0,-90.0
4029,-180.0,90.0,180.0,-90.0
4030,-180.0,90.0,180.0,-90.0
4031,-180.0,90.0,180.0,-90.0
4032,-180.0,90.0,180.0,-90.0
4033,-180.0,90.0,180.0,-90.0
4034,-180.0,90.0,180.0,-90.0
4035,-180.0,90.0,180.0,-90.0
4036,-180.0,90.0,180.0,-90.0
4037,26.63,48.47,30.0,45.44
4038,30.0,46.47,30.13,46.37
4039,11.79,-3.41,29.81,-13.46
4040,11.79,-3.41,29.81,-13.46
4041,-180.0,90.0,180.0,-90.0
4042,-180.0,90.0,180.0,-90.0
4043,-180.0,90.0,180.0,-90.0
4044,-180.0,90.0,180.0,-90.0
4045,-180.0,90.0,180.0,-90.0
4046,11.79,-3.41,29.81,-13.46
4047,-180.0,90.0,180.0,-90.0
4048,11.79,-4.67,13.0,-6.04
4049,13.0,-4.28,15.01,-5.91
4050,15.0,-3.41,17.0,-7.31
4051,17.0,-3.43,19.0,-8.11
4052,-180.0,90.0,180.0,-90.0
4053,-180.0,90.0,180.0,-90.0
4054,-180.0,90.0,180.0,-90.0
4055,-180.0,90.0,180.0,-90.0
4056,19.0,-3.77,21.0,-8.0
4057,21.0,-4.18,23.01,-11.24
4058,23.0,-4.58,25.0,-11.47
4059,25.0,-4.99,27.0,-11.99
4060,27.0,-6.43,29.0,-13.39
4061,12.0,-3.41,18.01,-8.11
4062,18.0,-3.57,24.0,-11.24
4063,24.0,-4.79,29.81,-13.46
4071,-48.1,-15.37,-47.1,-15.94
4073,18.81,46.19,23.01,41.85
4074,18.81,46.19,23.01,41.85
4075,18.81,46.19,23.01,41.85
4079,-21.93,32.76,-11.75,24.6
4080,-21.93,32.76,-11.75,24.6
4081,-21.93,32.76,-11.75,24.6
4082,-21.93,31.19,-18.0,24.6
4083,-18.0,32.76,-11.75,25.25
4087,-180.0,90.0,180.0,-90.0
4088,-180.0,90.0,180.0,-90.0
4093,8.0,57.64,10.0,54.8
4094,9.0,57.8,11.29,54.67
4095,10.79,56.18,12.69,54.51
4096,14.59,55.36,15.24,54.94
4097,8.0,57.64,10.0,54.8
4098,9.0,57.8,11.29,54.67
4099,10.79,56.18,12.69,54.51
4100,14.59,55.36,15.24,54.94
4120,19.57,41.75,28.3,34.88
4121,19.57,41.75,28.3,34.88
4122,-69.05,48.07,-59.73,43.41
4123,19.24,70.09,31.59,59.75
4124,10.03,69.07,24.17,54.96
4125,116.72,0.0,117.99,-1.24
4126,19.02,56.45,26.82,53.89
4127,30.21,-10.42,40.9,-26.87
4128,30.21,-14.01,35.37,-17.76
4129,31.29,-19.84,35.65,-26.87
4130,30.21,-10.09,43.03,-27.71
4131,102.14,23.33,110.0,7.99
4132,47.13,33.22,53.61,26.74
4133,21.74,59.75,28.2,57.52
4134,51.99,26.58,59.91,16.59
4135,-160.3,22.29,-154.74,18.87
4136,-171.97,63.84,-168.59,62.89
4137,-170.51,57.28,-170.04,57.06
4138,-169.88,56.67,-169.38,56.49
4139,-67.97,18.78,-64.25,17.62
4140,-120.0,62.56,-57.1,44.61
4141,34.17,33.28,35.69,29.45
4142,-8.61,10.74,-2.48,1.02
4143,-8.61,10.74,-2.48,1.02
4144,60.86,37.07,97.42,8.02
4145,60.86,37.07,77.83,23.64
4146,68.13,35.51,97.42,8.02
4147,102.14,23.33,109.52,8.5
4148,13.33,-22.13,42.85,-50.32
4149,5.96,47.81,10.49,45.82
4150,5.96,47.81,10.49,45.82
4151,5.96,47.81,10.49,45.82
4152,144.58,49.38,-64.51,-14.59
4153,52.5,27.61,52.71,27.39
4154,44.03,39.78,63.34,23.34
4155,-15.13,12.68,-7.65,7.19
4156,12.09,51.06,22.56,47.73
4157,-60.9,11.41,-60.44,11.08
4158,-61.98,10.9,-60.85,9.99
4159,9.31,35.23,26.21,19.5
4160,-71.96,-36.14,-68.01,-41.1
4161,-69.5,-45.19,-67.1,-46.7
4162,124.53,38.64,131.01,33.14
4163,41.08,19.0,57.96,8.95
4164,43.37,19.0,53.14,12.54
4165,-16.77,12.69,-13.64,10.87
4166,124.53,38.64,131.01,33.14
4167,160.6,-25.88,-171.2,-55.95
4168,-3.79,11.16,2.1,1.4
4169,-170.88,-14.11,-169.38,-14.43
4170,-113.21,16.75,-26.0,-59.87
4171,-9.86,51.56,10.38,41.15
4172,-73.59,-21.78,-52.63,-58.41
4173,-10.56,55.43,-5.34,51.39
4174,-13.34,8.55,-13.13,8.32
4175,-13.35,10.0,-10.26,6.88
4176,45.0,-60.0,160.0,-90.0
4178,9.92,54.74,28.68,41.24
4179,9.92,54.89,29.74,39.64
4180,20.37,60.0,28.2,57.52
4181,5.73,50.19,6.53,49.44
4182,-31.34,39.77,-31.02,39.3
4183,-28.9,39.14,-26.97,38.32
4184,-25.92,37.96,-24.62,36.87
4185,-17.31,33.15,-16.23,32.35
4188,-8.18,55.36,-5.34,53.96
4189,-73.38,16.75,-58.95,0.64
4190,-73.59,-21.78,-52.63,-58.41
4191,19.22,42.67,21.06,39.64
4192,8.45,4.99,10.4,2.16
4193,8.45,4.99,10.4,2.16
4194,-73.29,79.0,-42.52,59.74
4195,-29.69,74.58,-19.89,68.66
4196,-38.86,65.91,-36.81,65.52
4197,12.9,9.87,14.19,8.92
4198,14.17,12.77,15.09,11.7
4199,24.7,31.68,36.95,21.97
4200,18.92,85.2,-168.97,39.87
4201,21.82,22.24,47.99,3.4
4202,109.23,-1.3,163.2,-47.2
4203,109.23,-9.37,153.61,-38.53
4204,34.51,32.16,55.67,15.61
4205,40.99,12.03,51.47,-1.71
4206,0.16,23.53,16.0,11.69
4207,-9.56,42.16,-6.19,36.95
4208,-53.38,4.26,-26.0,-35.71
4209,19.99,-8.19,35.93,-26.88
4210,29.34,4.63,41.91,-11.75
4211,105.06,-4.07,117.01,-8.91
4212,-59.71,13.39,-59.37,13.0
4213,7.81,16.7,14.9,12.8
4214,73.62,53.56,134.77,18.11
4215,2.5,51.51,6.4,49.5
4216,-64.89,32.43,-64.61,32.21
4217,167.65,56.28,174.01,49.01
4218,-79.1,13.68,-66.87,-4.23
4219,105.07,-1.44,108.35,-3.3
4220,8.2,-5.82,24.09,-18.02
4221,-73.59,-21.78,-53.65,-54.93
4222,16.45,-17.78,32.95,-34.88
4223,7.49,38.41,13.67,30.23
4224,-62.57,-15.37,-47.1,-31.91
4225,-58.16,-2.68,-34.74,-33.78
4226,-8.61,10.74,-2.48,1.02
4227,35.04,37.3,42.38,32.31
4228,8.32,13.09,16.21,1.65
4229,24.7,33.82,37.91,21.89
4230,-16.1,84.17,48.61,25.71
4231,-10.56,71.21,31.59,34.88
4232,51.99,26.42,59.91,16.59
4233,69.29,8.1,77.08,-3.47
4234,8.32,13.09,16.21,1.65
4235,-54.6,8.88,-49.46,2.11
4236,119.25,25.34,122.06,21.87
4237,16.11,48.58,22.9,45.74
4238,95.16,5.97,141.01,-10.98
4239,92.2,28.55,105.64,5.63
4240,97.34,20.46,105.64,5.63
4241,-78.43,18.58,-76.17,17.64
4242,-78.43,18.58,-76.17,17.64
4243,60.86,37.07,101.17,8.02
4244,79.64,9.88,81.95,5.86
4245,99.59,7.81,105.82,1.13
4246,46.54,30.09,48.48,28.53
4247,-73.38,12.25,-59.8,0.64
4248,-81.41,12.68,-47.99,-43.5
4249,-72.4,11.04,-70.78,8.72
4250,-3.79,11.16,2.1,1.4
4251,-11.52,8.52,-7.36,4.29
4252,-0.15,11.14,2.42,2.91
4253,116.89,19.45,126.65,4.99
4254,-74.83,-51.99,-65.05,-55.96
4255,60.5,38.48,74.92,29.4
4256,55.3,-4.5,55.59,-4.86
4257,118.71,-1.88,120.78,-6.54
4258,-16.1,84.17,40.18,32.88
4259,10.53,-5.05,12.37,-6.04
4260,8.32,13.09,16.21,1.65
4261,-13.24,35.97,-1.01,27.66
4262,36.44,18.1,43.31,12.36
4263,2.66,13.9,14.65,1.92
4264,10.53,-4.38,13.1,-6.04
4265,5.93,47.1,18.99,34.76
4266,7.03,2.32,14.52,-6.37
4267,167.65,83.17,-47.74,7.98
4268,-90.42,48.32,-82.13,41.69
4269,167.65,86.46,-47.74,14.92
4270,50.55,27.05,57.13,22.63
4271,-60.9,11.41,-60.44,11.08
4272,165.87,-33.89,179.27,-47.65
4273,4.68,71.21,31.22,57.93
4274,-9.56,42.16,-6.19,36.95
4275,-4.87,51.14,9.63,41.31
4276,-180.0,90.0,180.0,-90.0
4277,-9.2,61.14,2.88,49.75
4278,-8.82,60.94,1.92,49.79
4279,-10.56,60.9,1.84,49.81
4280,95.16,5.97,106.13,-5.99
4281,34.17,33.38,39.31,29.18
4282,8.84,3.72,18.65,-6.91
4283,93.41,-8.47,173.35,-60.56
4284,19.57,81.91,-168.97,35.14
4285,50.69,26.2,51.68,24.55
4286,50.69,26.2,51.68,24.55
4287,-75.0,87.03,8.12,56.38
4288,-73.38,12.25,-59.8,7.75
4289,3.2,53.7,7.22,50.75
4291,-81.41,12.52,-25.28,-55.96
4292,-61.54,-50.96,-57.61,-52.51
4293,8.24,-16.95,25.27,-30.64
4294,114.55,0.0,117.99,-4.24
4295,108.79,2.13,109.78,0.06
4296,None,None,None,None
4297,42.53,-11.69,51.03,-26.59
4298,109.31,7.67,119.61,0.85
4299,-10.56,55.43,-5.34,51.39
4300,-10.56,55.43,-5.34,51.39
4301,122.83,45.54,154.05,20.37
4302,-62.09,11.51,-60.0,9.83
4303,51.56,25.34,56.03,22.63
4304,-2.95,37.14,9.09,31.99
4306,5.96,47.81,10.49,45.82
4307,-8.67,38.8,11.99,18.97
4308,10.93,69.07,24.17,55.28
4309,-58.49,-30.09,-53.09,-35.0
4310,-20.22,16.7,-11.36,10.64
4311,-58.08,9.35,-52.66,1.83
4312,9.53,49.02,17.17,46.4
4313,2.5,51.51,6.4,49.5
4314,5.87,55.09,13.84,47.27
4315,-15.13,12.68,-7.65,7.19
4316,20.26,48.27,29.74,43.62
4317,20.26,48.27,31.41,43.44
4318,46.54,30.09,48.48,28.53
4319,47.78,29.45,48.16,29.17
4322,-180.0,90.0,180.0,-90.0
4324,-180.0,90.0,180.0,-90.0
4326,-180.0,90.0,180.0,-90.0
4327,-180.0,90.0,180.0,-90.0
4328,-180.0,90.0,180.0,-90.0
4329,-180.0,90.0,180.0,-90.0
4330,-180.0,90.0,180.0,-90.0
4331,-180.0,90.0,180.0,-90.0
4332,-180.0,90.0,180.0,-90.0
4333,-180.0,90.0,180.0,-90.0
4334,-180.0,90.0,180.0,-90.0
4335,-180.0,90.0,180.0,-90.0
4336,-180.0,90.0,180.0,-90.0
4337,-180.0,90.0,180.0,-90.0
4338,-180.0,90.0,180.0,-90.0
4339,45.0,-60.0,160.0,-90.0
4340,45.0,-60.0,160.0,-90.0
4341,20.37,60.0,28.2,57.52
4342,20.37,60.0,28.2,57.52
4343,5.96,47.81,10.49,45.82
4344,5.96,47.81,10.49,45.82
4345,-16.1,84.17,40.18,32.88
4346,-16.1,84.17,40.18,32.88
4347,109.23,-8.88,163.2,-47.2
4348,109.23,-8.88,163.2,-47.2
4349,13.33,-22.13,42.85,-50.32
4350,13.33,-22.13,42.85,-50.32
4351,-10.56,55.43,-5.34,51.39
4352,-10.56,55.43,-5.34,51.39
4353,122.38,46.05,157.65,17.09
4354,122.38,46.05,157.65,17.09
4355,19.02,56.45,26.82,53.89
4356,19.02,56.45,26.82,53.89
4357,30.21,-10.09,43.03,-27.71
4358,30.21,-10.09,43.03,-27.71
4359,-139.05,60.0,-52.62,41.68
4360,-139.05,60.0,-52.62,41.68
4361,144.58,49.38,-64.51,-14.59
4362,144.58,49.38,-64.51,-14.59
4363,160.6,-25.88,-171.2,-55.95
4364,160.6,-25.88,-171.2,-55.95
4365,-73.59,-21.78,-52.63,-58.41
4366,-73.59,-21.78,-52.63,-58.41
4367,-73.38,16.75,-58.95,0.64
4368,-73.38,16.75,-58.95,0.64
4369,-9.86,51.56,10.38,41.15
4370,-9.86,51.56,10.38,41.15
4371,-54.6,8.88,-49.46,2.11
4372,-54.6,8.88,-49.46,2.11
4373,37.58,-10.6,58.27,-25.92
4374,37.58,-10.6,58.27,-25.92
4375,-82.0,13.0,-34.0,-56.15
4376,-82.0,13.0,-34.0,-56.15
4377,10.03,69.07,24.17,54.96
4378,10.03,69.07,24.17,54.96
4379,41.08,19.0,57.96,8.95
4380,41.08,19.0,57.96,8.95
4381,156.25,-14.83,174.28,-26.45
4382,156.25,-14.83,174.28,-26.45
4383,-63.66,18.54,-57.52,14.08
4384,-63.66,18.54,-57.52,14.08
4385,-180.0,90.0,180.0,-90.0
4386,-30.87,69.59,-5.55,59.96
4387,-30.87,69.59,-5.55,59.96
4388,19.06,58.09,28.24,55.67
4389,19.06,58.09,28.24,55.67
4390,102.44,2.95,104.6,1.21
4391,101.7,3.28,102.71,2.03
4392,101.33,4.78,103.67,2.45
4393,100.76,3.87,101.97,2.54
4394,102.38,5.9,103.72,3.89
4395,100.12,5.59,100.56,5.12
4396,99.59,6.72,101.12,5.08
4397,100.07,5.92,102.0,3.66
4398,101.33,6.29,102.67,4.54
4399,167.65,56.28,174.01,49.01
4400,174.0,56.67,180.0,47.92
4401,-180.0,63.21,-173.99,47.88
4402,-174.0,73.05,-167.99,48.66
4403,-168.0,74.29,-161.99,49.52
4404,-162.0,74.71,-155.99,50.98
4405,-156.0,74.71,-149.99,52.15
4406,-150.0,74.13,-143.99,54.05
4407,-144.0,73.59,-137.99,53.47
4408,-138.0,73.04,-131.99,53.6
4409,-132.0,56.84,-126.0,35.38
